endpoint,endpoint_label,model,subgroup_variable,subgroup,n,events,prevalence,auroc,auprc,auprc_over_prevalence,brier,ece_10,top1_event_rate,top1_enrichment_over_prevalence,overall_prevalence,overall_model_auprc
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,age_group,20-34,2721959,122599,0.04504072250904587,0.7087492153274935,0.187533382912239,4.163640644853671,0.04003940576803728,0.0012861197666784712,0.4791697281410727,10.638588846900433,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,age_group,<20,139228,7115,0.051103226362513285,0.6881803423684889,0.21938816700188288,4.293039454018011,0.044912066550583093,0.006831633732108348,0.6149425287356322,12.033340603064596,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,age_group,>=35,777249,39421,0.05071862427613287,0.7147580378064846,0.18082421978901705,3.565242992486079,0.04518940045790717,0.0050305370368016,0.444287184765826,8.759842978921222,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,bmi_group,25-29.9,993716,42331,0.04259869016902214,0.7000551414638835,0.18106693875155916,4.250528315145977,0.03816029997400686,0.003012757760877183,0.45174599979873203,10.604692257116458,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,bmi_group,<25,1415857,54648,0.038597118211796816,0.7005384170750244,0.17045772323625014,4.416332906018654,0.03485701581515309,0.0036815483074013862,0.4251006427007557,11.01379228283494,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,bmi_group,>=30,1139973,66115,0.057996987647953066,0.7080128260103026,0.2191339185223774,3.7783672464601095,0.050440457747647105,0.0034572433159454547,0.5794736842105264,9.9914445165322,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,bmi_group,Unknown,88890,6041,0.06796040049499381,0.7017352380590869,0.18829857027139202,2.7707101326641346,0.06286695886207139,0.027929859381055508,0.4150731158605174,6.107573128429299,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,race_ethnicity_code,MRACEHISP_1,1784051,85447,0.04789493125476794,0.6962036500200223,0.16587943249386664,3.4634026638748616,0.043132514541666035,0.002868380261064627,0.41012275096687406,8.562967734211883,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,race_ethnicity_code,MRACEHISP_2,473624,32164,0.06791040994544195,0.7233065292462953,0.29808346965852656,4.389363425990237,0.05594149746086285,0.004088546170352928,0.7930743243243243,11.678243806236283,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,race_ethnicity_code,MRACEHISP_3,24033,1399,0.0582116256813548,0.6954463649195138,0.19543527831254942,3.357323833942459,0.05128656033924433,0.0040058339192345855,0.5083333333333333,8.732505360972123,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,race_ethnicity_code,MRACEHISP_4,227183,7664,0.033734918545841895,0.6971484507820433,0.13115868957009785,3.887920742771861,0.031051234975525005,0.00209770454724287,0.355193661971831,10.528961600697611,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,race_ethnicity_code,MRACEHISP_5,10391,591,0.056876142815898374,0.6669764149314548,0.1696777360357238,2.9832848648852894,0.050985498939701036,0.010882069414437421,0.46153846153846156,8.11479890667708,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,race_ethnicity_code,MRACEHISP_6,91634,4676,0.051029094004408845,0.6954602391947532,0.1885571203758236,3.695090497972245,0.045900494241710346,0.01782032042766432,0.5065502183406113,9.926694334350636,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,race_ethnicity_code,MRACEHISP_7,991715,35115,0.035408358248085386,0.700765640055647,0.16645846390646407,4.70110652236933,0.03205351809256793,0.0021350344037513627,0.41897751336089545,11.832729165960428,0.04648563283784571,0.1859502818201731
