endpoint,feature_set,probability_type,bin,n,weight,mean_pred,event_rate
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,raw,10,363843,0.09999983509397994,0.7516459956806925,0.1536541860088005
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,platt,1,363844,0.1000001099373467,0.011250064705276674,0.014764569430854982
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,platt,2,363844,0.1000001099373467,0.01629317762623279,0.019120832004925186
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,platt,3,363844,0.1000001099373467,0.020189310271822684,0.02300436450786601
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,platt,4,363844,0.1000001099373467,0.024069608140924702,0.026420663800969645
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,platt,5,363844,0.1000001099373467,0.02836774846313823,0.02967480568595332
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,platt,6,363844,0.1000001099373467,0.03360126397999486,0.034795131979639626
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,platt,7,363843,0.09999983509397994,0.04064981619552811,0.04145744180869221
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,platt,8,363843,0.09999983509397994,0.05145001798989227,0.052102142957264536
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,platt,9,363843,0.09999983509397994,0.07142541549012536,0.06986255060561836
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,platt,10,363843,0.09999983509397994,0.15769757279271213,0.1536541860088005
